,Unnamed: 0,date,platform,url,title,body,author,tags,num_comments,score
10,11,1624434972.0,Stack Overflow,https://stackoverflow.com/questions/68095806/simscape-electrical,Simscape Electrical,"<p>Have a good day everyone,</p>
<p>I have a problem with Thyristor block in Simscape Electrical library. There is example for turning on it but there is not example for turning off.</p>
<p><a href=""https://i.stack.imgur.com/suj8n.png"" rel=""nofollow noreferrer"">Thyristor block</a></p>
<p>I have tried so many methods but it can not turn off; capacitor method, anode cathode short circuit etc.</p>
<p>I have found one turn off example but it is converting supply Anode-Cathode voltage to negative. So it can not help.</p>
<p><a href=""https://i.stack.imgur.com/HsCsM.png"" rel=""nofollow noreferrer"">Turn off example</a></p>
<p>Can you help me about this problem?</p>
<p>Thanks in advance.</p>
",Fatih,"['matlab', 'simulink', 'simscape']",0.0,0.0
11,12,1624415865.0,Stack Overflow,https://stackoverflow.com/questions/68092864/how-do-you-flip-a-nifti-image-nii-in-matlab,How do you flip a NIFTI image (.nii) in MATLAB?,"<p>I know there are functions imrotate3 and imtransform for doing geometric transformations with .nii files. However, I'm not even sure how they work.</p>
<p>I'm trying the flip the nifti image along the x-axis. Would someone be able to give a detailed explanation of the functions?</p>
",Britney Forsyth,"['matlab', 'image-processing', 'nifti']",1.0,0.0
12,13,1624415668.0,Stack Overflow,https://stackoverflow.com/questions/68092842/what-is-the-python-equivalent-to-holdon-in-matlab,what is the python equivalent to holdon in matlab?,"<p>I need to print several plots generated in a loop in one combined plot. Is there any way to do this similar to hold on in MATLAB?</p>
",gara of the sand,"['python', 'matlab', 'plot']",0.0,-1.0
13,14,1601282875.0,Stack Overflow,https://stackoverflow.com/questions/64098823/webwindow-is-not-valid-it-was-closed-by-user-or-the-process-was-terminated,Webwindow is not valid. It was closed by user or the process was terminated,"<p>Every time I finish testing some Simulink blocks from Design Verifier, I save and quit the current Simulink view, open a new one and get greeted by this annoying error that forces me to quit and restart Matlab.</p>
<pre><code>Webwindow is not valid. It was closed by user or the process was terminated.
</code></pre>
<p>Is there any way to fix or prevent it?</p>
",montan,"['matlab', 'simulink']",0.0,1.0
14,15,1624401958.0,Stack Overflow,https://stackoverflow.com/questions/68091496/error-messages-when-using-gui-on-eeglab-for-bin-files,Error messages when using GUI on EEGLAB for .bin files,"<p><a href=""https://i.stack.imgur.com/9CEbI.png"" rel=""nofollow noreferrer"">This is the error message I am getting when I try to import a .bin file in the EEGLAB GUI on Matlab2019b. The .bin files are both zipped and unzipped and neither format is working. I have run this through linux and also through my personal computer and I am getting error messages regardless of the platform I'm using.</a></p>
<p><a href=""https://i.stack.imgur.com/Jmp9y.jpg"" rel=""nofollow noreferrer"">This other error primarily occurs when I am running the unzipped .bin files. I have tried to re-install fieldtrip but it doesn't seem to work. I also get this error on several different files, so I know it isn't specific to any one file.</a></p>
<p>If anyone has any advice I would love to hear it!</p>
",Abbie Mollison,"['matlab', 'user-interface', 'import', 'binaryfiles', 'eeglab']",0.0,-1.0
15,16,1624331470.0,Stack Overflow,https://stackoverflow.com/questions/68077059/matlab-how-to-autocomplete-parentheses-in-my-command-window-in-2021a,Matlab how to autocomplete parentheses in my command window in 2021a,"<p>I found the option in autocoding section that I can turn on autocompletion for live editor and app designer. And it does work fine in my live editor. However, when I am coding in my command window, the parentheses won't autocomplete. Same for my quotations.</p>
<p>Wonder if anyone can help me with this issue. It was not really answered in matlab forum.</p>
<p>Cheers.</p>
",Elder Yang,['matlab'],1.0,0.0
16,17,1624395050.0,Stack Overflow,https://stackoverflow.com/questions/68090581/boolean-masks-for-stratification-in-python-like-in-matlab,Boolean masks for stratification in Python like in Matlab,"<p>I want to create a boolean mask (n x p) to stratify values from a (n x 1) vector (eg, time series data) within bins of a (1 x p) vector. I use this result to retrieve and aggregate data on other (n x 1) vectors.</p>
<p>Here is my working code in Matlab:</p>
<pre><code>function [histVar1]=histo(VecIn, ThreshLow, Var1)

     % VecIn: n x 1
     % Var1: n x 1
     % ThreshLow: 1 x p

     % create upper limits
     ThreshUp = [ThreshLow(2:end) 1e5];

     % create n x p boolean mask
     mask = VecIn&gt;=ThreshLow &amp; VecIn&lt;ThreshUp;

     % use mask to retrieve p x 1 array /w aggregated values
     histVar1=sum(Var1(mask));
</code></pre>
<p>I wasn´t able to transfer this syntax to Python. Instead I iterated over the Threshold (p x 1) vector:</p>
<pre><code>def histo(VecIn, ThreshLow, Var1): 
   
    # create upper limits
    ThreshHigh=np.append(ThreshLow[1:],1e5)
    
    # iterate over ThreshLow (i to p)
    histVar1 = []
    for i in range (0, len(LowThresh)):
        # create n x 1 boolean mask
        mask = (v &gt;= LowThresh[i]) &amp; (v &lt; ThreshHigh[i])
        histVar1.append(np.sum(Var1[mask]))

    return np.array(histVar1)
</code></pre>
<p>The upper examples both work for me, but I am looking for a concise (and possibly fast) code alternative. Maybe there are even more efficient ways to write such a function or maybe such a function is part of a common library.</p>
",RobShaver,"['python', 'matlab']",0.0,0.0
17,18,1624381367.0,Stack Overflow,https://stackoverflow.com/questions/68087905/gan-generating-odd-edges-in-time-series,GAN generating odd edges in time series,"<p>I'm using MATLAB to train a GAN for a time series, based off this tutorial:</p>
<p><a href=""https://uk.mathworks.com/help/deeplearning/ug/train-generative-adversarial-network.html"" rel=""nofollow noreferrer"">https://uk.mathworks.com/help/deeplearning/ug/train-generative-adversarial-network.html</a></p>
<p>As you can see in the GIF at the bottom, the models <strong>collapses</strong> into something which resembles my signals, however the edges (specially the right side) are way off. The network structure is:</p>
<pre><code>numFilters = 16;

numLatentInputs = 100;

scale = 0.2;

inputSize = [1000 1 1];

 1. layersGenerator = [
    imageInputLayer([1 1 numLatentInputs],'Normalization','none','Name','in')
    transposedConv2dLayer([6 1],8*numFilters,'Name','tconv1')
    batchNormalizationLayer('Name','bn1','Epsilon',5e-5)
    reluLayer('Name','relu1')
    transposedConv2dLayer([9 1],4*numFilters,'Stride',4,'Cropping',[0 0],'Name','tconv2')
    batchNormalizationLayer('Name','bn2','Epsilon',5e-5)
    reluLayer('Name','relu2')
    transposedConv2dLayer([11 1],2*numFilters,'Stride',4,'Cropping',[0 0],'Name','tconv3')
    batchNormalizationLayer('Name','bn3','Epsilon',5e-5)
    reluLayer('Name','relu3')
    transposedConv2dLayer([10 1],numFilters,'Stride',4,'Cropping',[0 0],'Name','tconv4')
    batchNormalizationLayer('Name','bn4','Epsilon',5e-5)
    reluLayer('Name','relu4')
    transposedConv2dLayer([6 1],1,'Stride',2,'Cropping',[0 0],'Name','tconv5')
    ];
 2. layersDiscriminator = [
    imageInputLayer(inputSize,'Normalization','none','Name','in')
    convolution2dLayer([17 1],8*numFilters,'Stride',2,'Padding',[1 0],'Name','conv1')
    leakyReluLayer(scale,'Name','lrelu1')
    convolution2dLayer([16 1],4*numFilters,'Stride',4,'Padding',[1 0],'Name','conv2')
    leakyReluLayer(scale,'Name','lrelu2')
    convolution2dLayer([16 1],2*numFilters,'Stride',4,'Padding',[1 0],'Name','conv3')
    leakyReluLayer(scale,'Name','lrelu3')
    convolution2dLayer([8 1],numFilters,'Stride',4,'Padding',[1 0],'Name','conv4')
    leakyReluLayer(scale,'Name','lrelu4')
    convolution2dLayer([6 1],1,'Name','conv5')];
</code></pre>
<p>Any idea if its a padding issue, the way the network is structures? Should I just try instead with VAE?</p>
<p><a href=""https://i.stack.imgur.com/G8zLP.gif"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/G8zLP.gif"" alt=""GAN TRAINING"" /></a></p>
",Marcos Ignacio Fabietti,"['matlab', 'machine-learning', 'time-series', 'generative-adversarial-network']",0.0,0.0
18,19,1624296912.0,Stack Overflow,https://stackoverflow.com/questions/68072350/how-to-denoise-this-image-and-remove-lines,How to denoise this image and remove lines?,"<p>I have 360x360 image I want to remove lines in it</p>
<p>half portion on it has noisy lines I am working on MATLAB</p>
<p>I tried median filter, but not working how to denoise this image and remove lines?</p>
<p><a href=""https://i.stack.imgur.com/gaLkX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/gaLkX.png"" alt=""enter image description here"" /></a></p>
",Rohit gupta,"['matlab', 'image-processing', 'noise']",0.0,0.0
19,20,1624379510.0,Stack Overflow,https://stackoverflow.com/questions/68087462/built-in-list-of-numeric-types-in-matlab,Built-in list of numeric types in Matlab,"<p>Does Matlab provide a list of numeric datatypes?</p>
<p>Some functions, like <a href=""https://www.mathworks.com/help/matlab/ref/zeros.html#d123e1542635"" rel=""nofollow noreferrer"">zeros</a>, take an optional <code>typename</code> argument, a string naming a numeric type (e.g., 'double' or 'uint8'), that determines the type of the returned array. I would like to add something similar to my own code, and a complete list of numeric types would help with argument validation, as in:</p>
<pre><code>    ip = inputParer()
    ...
    ip.addParameter('DataType', 'double', @(x) ismember(x, numeric_types()));
</code></pre>
<p>It seems as though something similar must exist, but I haven't been able to find it.</p>
<ul>
<li><code>isnumeric</code> checks an instance, rather than the typename itself.</li>
<li><code>superclasses</code> doesn't return anything for numeric types on 2018b.</li>
</ul>
<p>Obviously, this is not hard to implement, but it'd be nice to use a built-in if it existed.</p>
",Matt Krause,"['matlab', 'types']",0.0,1.0
20,21,1624378219.0,Stack Overflow,https://stackoverflow.com/questions/68087147/solution-to-the-1d-advection-dispersion-equation-with-cauchy-type-bc-at-both-end,Solution to the 1D advection-dispersion equation with Cauchy type BC at both ends,"<p>I am trying to solve the 1D advection-dispersion equation with initial and boundary conditions as shown:<a href=""https://i.stack.imgur.com/tPIbZ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/tPIbZ.png"" alt=""enter image description here"" /></a>.</p>
<p>I have been trying to use MATLAB’s pdepe function, but I am not sure how to enforce the Cauchy BCs therein. This is what I have so far:</p>
<pre><code>clc; clear; close all;
 
L      = 0.08;      %Column length [m]
xsteps = 40;        %number of spatial gridpoints
dx     = L/xsteps;  %Length step size [m]
T      = 20/24;     %Total simulation time [days]
tsteps = 100;       %number of temporal gridpoints
dt     = T/tsteps;  %Time step size [days] (Always check stability!)
 
Vel    = 0.24;  %Velocity in each cell [m/day]
D      = 4.8e-04; % Dispersion coeff. [m2/day]
 
%Mesh
x = 0:dx:L; 
t = 0:dt:T; 
 
%Solve Eqn
m = 0;
A = pdepe(m,@pde,@pdic,@pdbc,x,t);
 
figure
surf(x,t,A)
xlabel('Distance x [m]'), ylabel('Time t [day]'), zlabel('Concentration')
 
figure
plot(x,A(tsteps,:), 'r-'), grid
xlabel('distance [m]'),ylabel('Concentration')
 
 
function [a,f,s] = pde(x,t,a,dudx)
a = 1;
f = 4.8e-04*dudx;
s = -0.24*dudx; % -Vel*dudx
end
 
function u0 = pdic(x)
%initial condition
u0 = 1.2;
end
 
function [pl,ql,pr,qr] = pdbc(xl,ul,xr,ur,t)
%BCs
pl = ul;
ql = 0; 
pr = -1.2*0.24; % -A0*Vel
qr = 1;    
end
</code></pre>
<p>I am unsure if I got the parameters <code>pl, ql, pr</code>, and <code>qr</code> represented correctly in the pdbc function. I therefore will really appreciate if anyone can help me out here. I also will not mind getting help with a better numerical scheme/solution. Many thanks in anticipation of your help.</p>
",gary105,"['matlab', 'numerical-methods', 'numerical-analysis']",0.0,-1.0
